"""#Microsoft Has Mastered My Butt, Now Just Merge It With Windows"" by",0,,,
"""1400 Devs Journeyed to UCLA for LA Hacks Collegiate Hackathon"" http://t.co/3rXUJXRlU0 #Intel",0,,,
"""A watershed event."" The Watch | Asymco — Tangent Thoughts http://t.co/FnAfUkU7Zz #apple #applewatch #technology via @asymco",0,,,
"""Intel Lusts After The Data Centre As PC Revenue Dips""
Read more at http://t.co/lmwBLXxwNA

#datacentre #data #intel",0,,,
"""It's not you, it's me: Breaking up with Excel"" via LinkedIn http://t.co/mGQbuef7I5 #linkedin #microsoft #excel #powerpivot #actsci",0,,,
"""It's not you, it's me: Breaking up with Excel"" via LinkedIn http://t.co/ZFOdEukxo9 #linkedin #microsoft #excel #powerpivot #actsci",0,,,
"""L.A. School District Cancels iPad Pearson Curriculum, Asks Apple for Refund"" #apple http://t.co/M6OXAOg6Il",0,,,
"""Surprise! iFixit says you can’t do much to fix or upgrade the 2015 MacBook"" #Apple http://t.co/TLrlHca9Dv",0,,,
"""Waiting for items to copy"" in Itunes after everything DID copy goes on, and on, and on.  Come on @Apple, what the hell?",0,,,
"""Yeh behatreen samay hay parivar honeka"" says the #microsoft #ad in hindi. Preaching family values to indians? Get a local ad agency guys",0,,,
#android #samsung Clinton Foundation To Continue Accepting Donations From Foreign… http://t.co/3MRGeUCDjC http://t.co/wWXlf8qQJe,0,,,
#android #samsung Hillary Clinton visits with lawmakers at Iowa Capitol -… http://t.co/Saeka6tF9A http://t.co/wWXlf8qQJe,0,,,
"#android #samsung Hillary Clinton, Shareworthy? - The New Yorker http://t.co/rJp7YCxSP4 http://t.co/sIgBZRVoGM",0,,,
#android #samsung Reid: GOP Presidential Candidates Are 'All Losers' - CBS Local http://t.co/TyD9GwkmXw http://t.co/sIgBZRVoGM,0,,,
#android #samsung Texas man shot dead on live TV following high-speed police chase - New… http://t.co/uEQpF14oy1 http://t.co/sIgBZRVoGM,0,,,
#android #samsung UN refugee agency says presumed deaths of 400 migrants among the worst… http://t.co/RAmtbZcNfS http://t.co/sIgBZRVoGM,0,,,
#Apple - apparently social responsibility smack talk only sells products in America - http://t.co/Ol1d9HMfEM,0,,,
#Apple - European Commission charges Google with multiple antitrust violations http://t.co/5hP67nJCJo,0,,,
#Apple #iTunes Fraudulent phishing invoice received re order. Sender #mail243@itunesplc. Dont send them card details!,0,,,
#Apple #News Chess grandmaster hid an iPod touch in the bathroom to cheat during tournaments (AppleInsider): A... http://t.co/bAWQdPbkxQ,0,,,
#Apple #News Confused about the Apple Watch UI? Memorize this cheat sheet (John Brownlee/Cult of Mac): John Br... http://t.co/bzipKlBxSP,0,,,
#Apple Accused of Making the Russian Version of Siri Homophobic   - http://t.co/ZnnCpgq3L9 #London http://t.co/RpQFUcY7hU,0,,,
#Apple also on iphone6 it is showing red dot indicating a voicemail but there is no message!  How do I get rid?,0,,,
#Apple banned #selfiesticks at its next event - it's for your own good people! http://t.co/gHM6lV84A7,0,,,
#Apple bans selfie sticks  http://t.co/zv0xUSYEIs,0,,,
#Apple bans selfie sticks and e-cigarettes http://t.co/WGBsPPPt3e  @DailyMirror #WWDC http://t.co/lUqPJaCTwl,0,,,
#apple changing iPhoto to Photos is probably the worst decision anyone's made in the history of the world,0,,,
#Apple eclipsed #Microsoft http://t.co/wEdPbcPx,0,,,
